"Comparison","Taxa","mean.group1.","variance.group1.","std.err.group1.","mean.group2.","variance.group2.","std.err.group2.","pvalue","qvalue","Significance","Group"
"non-infecte - acanthocephale","k__Bacteria|p__Chloroflexi|c__Gitt-GS-136|o__Gitt-GS-136|f__Gitt-GS-136",2.26744926922378e-06,1.9537039516313e-10,2.26744926922378e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Firmicutes|c__Clostridia|o__Oscillospirales|f__Butyricicoccaceae",3.26512694768224e-06,4.05120051410267e-10,3.26512694768224e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Planctomycetota|c__Phycisphaerae|o__MSBL9|f__SM23-30",3.12907999152881e-06,3.72063380548666e-10,3.12907999152881e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Lineage_IV|f__Lineage_IV",4.66001490656533e-06,8.25198079317621e-10,4.66001490656533e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae",2.5848921669151e-06,2.53903365554004e-10,2.5848921669151e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales|f__Hydrogenophilaceae",0,0,0,0.000100929997837214,1.32429238024461e-07,0.000100929997837214,0.000999000999000999,0.00477568485970388,"**","acanthocephale"
"non-infecte - acanthocephale","k__Bacteria|p__Cyanobacteria|c__Vampirivibrionia|o__Vampirovibrionales|f__Vampirovibrionales",2.49419419614615e-06,2.36398178147388e-10,2.49419419614615e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Cyanobacteria|c__Cyanobacteriia|o__Cyanobacteriales|f__Phormidiaceae",2.95553884399024e-05,3.31937974616736e-08,2.95553884399024e-05,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Firmicutes|c__Bacilli|o__RF39|f__RF39",3.28942228698729e-06,4.11171361320891e-10,3.28942228698729e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__JTB23|f__JTB23",2.0407043423014e-06,1.58250020082136e-10,2.0407043423014e-06,0,0,0,0.000999000999000999,0.00477568485970388,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__67-14",0.00333745167218303,2.31313488884054e-05,0.000780204913846111,0.000181643309645259,1.29145672270614e-07,9.96708707815626e-05,0.001998001998002,0.00889265456634516,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae",0.000646575675859038,3.67980775403424e-06,0.000311186513459044,0,0,0,0.001998001998002,0.00889265456634516,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Acidobacteriota|c__Subgroup_26|o__Subgroup_26|f__Subgroup_26",0.000109793615912618,1.36989633348944e-07,6.00415718589045e-05,0,0,0,0.001998001998002,0.00889265456634516,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae",0.00043198828186644,2.25736764684133e-06,0.000243730202804212,0,0,0,0.001998001998002,0.00889265456634516,"**","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Patescibacteria|c__ABY1|o__Candidatus_Magasanikbacteria|f__Candidatus_Magasanikbacteria",3.67909235592095e-06,3.6693353322144e-10,3.10743392706756e-06,3.88536605226359e-05,1.50516943591132e-08,3.40267930168083e-05,0.00217164296776831,0.00950166932732121,"**","acanthocephale"
"non-infecte - acanthocephale","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae",0,0,0,3.57194735425859e-06,1.65864502720735e-10,3.57194735425859e-06,0.00253527785309553,0.0109078161716062,"*","acanthocephale"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methyloligellaceae",0.000952626022990162,4.35383146797538e-06,0.000338488570435017,2.3812982361724e-05,7.3717556764771e-09,2.3812982361724e-05,0.002997002997003,0.0119024761118774,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Acidobacteriota|c__Blastocatellia|o__Blastocatellales|f__Blastocatellaceae",6.00053170068667e-05,6.5554375214908e-08,4.15345053808809e-05,0,0,0,0.002997002997003,0.0119024761118774,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae",4.89565781297906e-05,2.18073432115362e-08,2.3955739457073e-05,0,0,0,0.002997002997003,0.0119024761118774,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Desulfobacterota|c__Desulfuromonadia|o__Bradymonadales|f__Bradymonadaceae",7.55910395987024e-05,6.92087155155093e-08,4.26764804927755e-05,0,0,0,0.002997002997003,0.0119024761118774,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Verrucomicrobiota|c__Chlamydiae|o__Chlamydiales|f__Waddliaceae",2.26707244410306e-05,6.36966233642816e-09,1.29469182844374e-05,0,0,0,0.002997002997003,0.0119024761118774,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Chthoniobacterales|f__Chthoniobacteraceae",7.85464191277895e-05,6.07505643149929e-08,3.99837349546145e-05,0,0,0,0.003996003996004,0.0145288440802259,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Hydrogenedentes|c__Hydrogenedentia|o__Hydrogenedentiales|f__Hydrogenedensaceae",5.2523105869987e-05,2.96591133739334e-08,2.79374834858933e-05,0,0,0,0.003996003996004,0.0145288440802259,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Bdellovibrionota|c__Oligoflexia|o__0319-6G20|f__0319-6G20",0.000100645154786293,2.14944768741465e-07,7.52093164619261e-05,0,0,0,0.003996003996004,0.0145288440802259,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiae|o__Opitutales|f__Opitutaceae",3.11657253653555e-05,9.60308931027752e-09,1.58969455112059e-05,0,0,0,0.003996003996004,0.0145288440802259,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Pseudonocardiales|f__Pseudonocardiaceae",4.80891808547913e-05,2.60935012973597e-08,2.62044096818193e-05,0,0,0,0.003996003996004,0.0145288440802259,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Alcanivoracaceae",5.28894388559804e-05,3.98191780961607e-08,3.23708681964773e-05,0,0,0,0.003996003996004,0.0145288440802259,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micromonosporales|f__Micromonosporaceae",4.89299473471546e-05,2.57262416530029e-08,2.60193458659043e-05,0,0,0,0.004995004995005,0.0179088182238896,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Chloroflexi|c__KD4-96|o__KD4-96|f__KD4-96",0.000843103802856722,2.11974053966452e-06,0.000236183500229473,4.09092768603494e-05,2.17563961320773e-08,4.09092768603494e-05,0.00599400599400599,0.02119619033622,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Micrococcales|f__Promicromonosporaceae",0.000927604523660803,2.58169337901808e-06,0.000260651682227152,3.24648220463969e-05,1.37015407165548e-08,3.24648220463969e-05,0.00699300699300699,0.0243947145536225,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Thermomicrobiales|f__JG30-KF-CM45",0.00416309601271032,3.72940488574458e-05,0.000990667622542413,0.000711089619294776,2.06057382552776e-06,0.000398127716802976,0.00899100899100899,0.0305392479186327,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__AT-s2-59|f__AT-s2-59",2.49995078121983e-05,1.1554814616767e-08,1.74377197150972e-05,0,0,0,0.00899100899100899,0.0305392479186327,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Fokiniaceae",0.000499297440144496,3.63777989221192e-06,0.000309404346761726,0,0,0,0.00999000999000999,0.0330624336441038,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Verrucomicrobiota|c__Chlamydiae|o__Chlamydiales|f__Chlamydiaceae",1.43948421385441e-05,5.05500388605995e-09,1.15337079057088e-05,0,0,0,0.00999000999000999,0.0330624336441038,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae",0.00433226546249531,2.96276795779999e-05,0.000882992513200661,0.000963586492887924,5.14843273199243e-06,0.000629311756664645,0.010989010989011,0.0359083140084064,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Frankiales|f__Frankiales",1.58721448845664e-06,9.57314936299339e-11,1.58721448845664e-06,0,0,0,0.0112778512211847,0.0363914928834741,"*","non-infecte"
"non-infecte - acanthocephale","k__Bacteria|p__Actinobacteriota|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae",1.63256347384112e-06,1.01280012852567e-10,1.63256347384112e-06,0,0,0,0.0118960818379089,0.0372848649287725,"*","non-infecte"
