SampleID	AMP23-06	AMP23-19	AMP23-22	AMP23-23	AMP23-27	AMP23-28	AMP23-29	AMP23-30	AMP23-34	AMP23-50	AMP23-58	AMP23-60	AMP23-91	AMP23-10	AMP23-13	AMP23-42	AMP23-43	AMP23-45	AMP23-46	AMP23-78	AMP23-81	AMP23-84	AMP23-93	AMP23-94	AMP23-05	AMP23-26	AMP23-92	AMP23-01	AMP23-02	AMP23-03	AMP23-04	AMP23-07	AMP23-08	AMP23-09	AMP23-12	AMP23-14	AMP23-15	AMP23-16	AMP23-17	AMP23-20	AMP23-21	AMP23-31	AMP23-35	AMP23-36	AMP23-39	AMP23-40	AMP23-41	AMP23-44	AMP23-49	AMP23-51	AMP23-52	AMP23-53	AMP23-54	AMP23-55	AMP23-61	AMP23-67	AMP23-69	AMP23-72	AMP23-74	AMP23-75	AMP23-77	AMP23-79	AMP23-83	AMP23-89	AMP23-90
AMP23-52	0.204885364	0.161545426	0.209320202	0.340782851	0.067303509	0.310193181	0.134413928	0.101917699	0.087418534	0.079964019	0.131606936	0.17597343	0.13014482	0.047007948	0.105809391	0.160556406	0.182141334	0.103616178	0.149506852	0.092375793	0.132886991	0.422921479	0.063904099	0.393670291	0.150597021	0.173617572	0.056420866	0.181381747	0.19752489	0.137480065	0.09882535	0.101348504	0.077435508	0.095701881	0.091759011	0.036979638	0.110295773	0.184939489	0.045680691	0.079384252	0.328605026	0.148929313	0.203525588	0.274148881	0.448334694	0.221697226	0.058172539	0.48580429	0.055012457	0.062099423	0	0.200333685	0.423245102	0.130334675	0.130073339	0.088647395	0.187855914	0.110318564	0.069601052	0.190718338	0.421333194	0.085796438	0.111130171	0.176296279	0.384602785
AMP23-53	0.271121621	0.070590772	0.063147202	0.33074066	0.209259629	0.146141782	0.149503261	0.199981809	0.174735129	0.21636492	0.25759843	0.149859577	0.281900436	0.195492759	0.187417716	0.230336502	0.319702476	0.12461479	0.309175074	0.2239182	0.266681701	0.320655942	0.191398799	0.293685317	0.268653482	0.231869787	0.227444574	0.33346656	0.18684791	0.266105026	0.171802461	0.169444591	0.156528428	0.185142323	0.248074725	0.196634039	0.148628682	0.055380266	0.217870504	0.232364431	0.230583996	0.210374191	0.21586293	0.111590035	0.313709021	0.075192772	0.199409962	0.369055569	0.230365545	0.18282415	0.200333685	0	0.314469874	0.286923409	0.252976656	0.233797401	0.315110654	0.265899926	0.252015024	0.274848312	0.315081388	0.199827433	0.242651001	0.070235588	0.284867823
AMP23-54	0.562792957	0.351356	0.360814512	0.628106713	0.433721423	0.249485821	0.315542608	0.454885066	0.389579207	0.385968655	0.524021566	0.259957701	0.463504136	0.403958887	0.463302493	0.324140579	0.445568174	0.360695451	0.496318549	0.482080698	0.400282353	0.055758901	0.432863861	0.085057855	0.545007467	0.317993373	0.439996004	0.586073756	0.261084974	0.515571117	0.38434422	0.334761977	0.367879987	0.454426408	0.495880544	0.424898237	0.353718072	0.350427181	0.412066132	0.483603597	0.109312996	0.480560124	0.257163435	0.231258422	0.072983339	0.255911231	0.421829075	0.076622374	0.436391741	0.369317889	0.423245102	0.314469874	0	0.486140519	0.394150496	0.485480905	0.589838326	0.446897537	0.470086515	0.556955874	0.046209682	0.455671161	0.503423274	0.292793572	0.063535832
AMP23-55	0.218791634	0.25702396	0.292556554	0.352336735	0.116236009	0.396320075	0.232834965	0.171785176	0.151248753	0.116100267	0.137187451	0.237669781	0.054749113	0.138398126	0.181672603	0.195638493	0.170619205	0.203432366	0.074477293	0.117696978	0.138326734	0.483478695	0.138641462	0.457410604	0.171599537	0.199733689	0.099361926	0.209658772	0.268663406	0.201527327	0.198602721	0.175706372	0.171246484	0.176124662	0.141341671	0.142958745	0.216116056	0.275969148	0.114885949	0.118593737	0.395052135	0.222234756	0.253324509	0.363936812	0.511699915	0.31252405	0.144098029	0.547968328	0.102173105	0.137042373	0.130334675	0.286923409	0.486140519	0	0.139969185	0.136573151	0.19268094	0.066478156	0.092354245	0.220911235	0.484543562	0.1337464	0.149553806	0.254058689	0.443163961
AMP23-61	0.303528368	0.229660824	0.27524063	0.438698947	0.151442781	0.356295675	0.192968786	0.195180103	0.174945354	0.084794544	0.219031349	0.161521375	0.097467631	0.126510561	0.204209998	0.094935089	0.090763398	0.173188478	0.120795079	0.184250683	0.061239697	0.38694942	0.157680482	0.364216596	0.251520187	0.105245575	0.129669651	0.243586406	0.20458205	0.207132712	0.153529868	0.118439652	0.140511706	0.189916939	0.176288038	0.136095315	0.171321616	0.250346631	0.10857062	0.180010736	0.308413953	0.2445288	0.148312688	0.31719479	0.4256621	0.263793856	0.144107819	0.453249127	0.115145177	0.100494064	0.130073339	0.252976656	0.394150496	0.139969185	0	0.180936202	0.278308839	0.096438304	0.13964577	0.288618088	0.391508132	0.175812408	0.206860512	0.216748103	0.349603057
AMP23-67	0.172334626	0.181675225	0.230724037	0.300666928	0.081666589	0.352649808	0.189273074	0.059188545	0.115411401	0.139905557	0.085299999	0.238515511	0.14266248	0.110896766	0.089067765	0.22756283	0.224471092	0.140588507	0.16230759	0.053046674	0.191895232	0.487721771	0.066293657	0.458354384	0.117312938	0.234047011	0.090905868	0.140764728	0.265978217	0.137058035	0.152918562	0.17108795	0.144867599	0.085161455	0.070764169	0.088782251	0.160991639	0.204076305	0.111912169	0.038290277	0.39093098	0.117070548	0.270397186	0.324028313	0.509310722	0.268074334	0.087298371	0.549559295	0.09544871	0.141266003	0.088647395	0.233797401	0.485480905	0.136573151	0.180936202	0	0.125414759	0.131179497	0.089504905	0.135661826	0.484416217	0.052440599	0.057797704	0.229663223	0.448376298
AMP23-69	0.105700709	0.266648769	0.28900364	0.242139623	0.181017131	0.440072805	0.293504894	0.149062261	0.217567623	0.244290739	0.098486543	0.346226782	0.212018505	0.208957136	0.136938438	0.333588451	0.309500486	0.238137171	0.204129606	0.13321951	0.280882716	0.593798161	0.174528122	0.56481266	0.05900985	0.341535509	0.184459582	0.137792081	0.364253521	0.150474429	0.238128617	0.276387185	0.236314833	0.146646887	0.130739346	0.185822442	0.258161753	0.284130275	0.213861778	0.126867741	0.495072007	0.144990101	0.37643066	0.41495803	0.608725131	0.365058661	0.196779072	0.65291214	0.197073787	0.244456694	0.187855914	0.315110654	0.589838326	0.19268094	0.278308839	0.125414759	0	0.217407569	0.16663529	0.107483268	0.58939749	0.152357638	0.099450596	0.319763154	0.554780364
AMP23-72	0.253531098	0.238615066	0.277153313	0.390597343	0.106927238	0.376537859	0.212125495	0.159791961	0.139219597	0.088431053	0.173742145	0.19995594	0.045946572	0.116949126	0.170811132	0.150590166	0.132726535	0.185721621	0.077767871	0.13417989	0.089862913	0.44238165	0.121574618	0.416481495	0.200819686	0.157469586	0.075341105	0.202690139	0.232286379	0.186065704	0.173905551	0.143171519	0.152702034	0.164518639	0.128710285	0.120694548	0.195298687	0.257583201	0.086672112	0.13124615	0.354658842	0.216845751	0.207872093	0.341207981	0.474362403	0.288962215	0.126240969	0.508270919	0.076321878	0.11015667	0.110318564	0.265899926	0.446897537	0.066478156	0.096438304	0.131179497	0.217407569	0	0.074164979	0.237029716	0.444169641	0.129333034	0.163889021	0.231950283	0.402825445
AMP23-74	0.202637225	0.21543467	0.25439167	0.347913533	0.073228531	0.367608011	0.196533844	0.126635	0.116944492	0.109249234	0.12955831	0.221560866	0.088223301	0.085746773	0.12834765	0.191708252	0.180009112	0.159840539	0.095766947	0.097055733	0.134451643	0.467758566	0.091192104	0.439119041	0.14796944	0.199047267	0.035364844	0.161634758	0.242195368	0.138825431	0.140835181	0.144594342	0.122372866	0.122336067	0.075139947	0.079888999	0.1680599	0.236320302	0.069058381	0.086152412	0.375680029	0.178655773	0.239898309	0.332881033	0.49661231	0.28029117	0.107086129	0.532321692	0.061438117	0.108264394	0.069601052	0.252015024	0.470086515	0.092354245	0.13964577	0.089504905	0.16663529	0.074164979	0	0.197522834	0.466680229	0.093284592	0.118220098	0.225547388	0.429112405
AMP23-75	0.129464358	0.227331877	0.250537634	0.196657732	0.191023275	0.385775328	0.265535474	0.130356103	0.196647435	0.247041136	0.120233402	0.325891495	0.236288786	0.212931246	0.126047269	0.334421158	0.324631572	0.218032107	0.247307822	0.132944658	0.29299134	0.564852655	0.169605032	0.536142886	0.106948353	0.340343595	0.201643452	0.197621107	0.350374013	0.192901433	0.243677229	0.270530492	0.23055999	0.14114733	0.173822284	0.194785118	0.241954476	0.238383323	0.222994715	0.139895946	0.465512127	0.095679328	0.371753484	0.369734466	0.571659386	0.32186228	0.181281671	0.619298756	0.20674631	0.240909562	0.190718338	0.274848312	0.556955874	0.220911235	0.288618088	0.135661826	0.107483268	0.237029716	0.197522834	0	0.559550047	0.143805921	0.104123436	0.285587251	0.525403798
